Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star color,Spectral class,Star type
3068,24,0.17,16.12,8,5,0
3042,5,1.542,16.6,8,5,0
2600,3,102,18.7,8,5,0
2800,2,0.16,16.65,8,5,0
1939,138,103,20.06,8,5,0
2840,65,0.11,16.98,8,5,0
2637,73,127,17.22,8,5,0
2600,4,96,17.4,8,5,0
2650,69,0.11,17.45,8,5,0
2700,18,0.13,16.05,8,5,0
3600,29,0.51,10.69,8,5,1
3129,122,3.761,11.79,8,5,1
3134,4,196,13.21,8,5,1
3628,55,393,10.48,8,5,1
2650,6,0.14,11.782,8,5,1
3340,38,0.24,13.07,8,5,1
2799,18,0.16,14.79,8,5,1
3692,367,0.47,10.8,8,5,1
3192,362,1.967,13.53,8,5,1
3441,39,351,11.18,8,5,1
25000,56,84,10.58,1,1,2
7740,49,1.234,14.02,9,0,2
7220,17,11,14.23,9,2,2
8500,5,0.01,14.5,9,0,2
16500,13,14,11.89,1,1,2
12990,85,984,12.23,13,2,2
8570,81,97,14.2,2,0,2
7700,11,128,14.47,13,2,2
11790,15,11,12.59,13,2,2
7230,8,13,14.08,7,2,2
39000,204000,10.6,-4.7,0,6,3
30000,28840,6.3,-4.2,4,1,3
15276,1136,7.2,-1.97,4,1,3
9700,74,2.89,0.16,11,1,3
5800,0.81,0.9,05.05,15,2,3
8052,8.7,1.8,2.42,11,0,3
6757,1.43,1.12,2.41,15,2,3
6380,1.35,0.98,2.93,15,2,3
5936,1.357,1.106,4.46,15,2,3
5587,819,0.99,05.03,15,2,3
3826,200000,19,-6.93,8,5,4
3365,340000,23,-6.2,8,5,4
3270,150000,88,-6.02,8,5,4
3200,195000,17,-7.22,8,5,4
3008,280000,25,-6,8,5,4
3600,320000,29,-6.6,8,5,4
3575,123000,45,-6.78,8,5,4
3574,200000,89,-5.24,8,5,4
3625,184000,84,-6.74,8,5,4
33750,220000,26,-6.1,0,1,4
3490,270000,1520,-9.4,8,5,5
3750,283000,1260,-7.63,8,5,5
3834,272000,1183,-9.2,8,5,5
3749,550000,1648,-8.05,5,5,5
3650,310000,1324,-7.79,8,5,5
3450,263000,1349,-11.75,8,5,5
3660,363000,1673,-11.92,8,5,5
3450,174000,1284,-11.28,8,5,5
3752,209000,955,-11.24,8,5,5
3535,195000,1546,-11.36,8,5,5
3341,56,57,16.23,8,5,0
3432,67,0.19,16.94,8,5,0
2983,24,94,16.09,8,5,0
2835,34,918,16.96,8,5,0
2935,14,116,18.89,8,5,0
3295,98,132,17.13,8,5,0
2945,32,93,18.34,8,5,0
2817,98,911,16.45,8,5,0
2774,36,118,17.39,8,5,0
2871,72,0.12,19.43,8,5,0
3345,21,273,12.3,8,5,1
3607,22,0.38,10.12,8,5,1
3304,85,0.18,13.2,8,5,1
3150,88,0.35,11.94,8,5,1
3550,4,291,10.89,8,5,1
3180,1,0.35,11.76,8,5,1
2890,34,0.24,13.46,8,5,1
3342,15,307,11.87,8,5,1
2621,6,98,12.81,8,5,1
3158,135,161,13.98,8,5,1
7100,29,12,14.09,10,2,2
10574,14,92,12.02,9,2,2
8930,56,95,13.78,14,0,2
17200,98,15,12.45,1,1,2
14100,67,89,12.17,1,1,2
9675,45,109,13.98,1,0,2
12010,78,92,12.13,1,1,2
10980,74,87,11.19,1,1,2
13720,18,892,12.97,14,2,2
19860,11,131,11.34,0,1,2
5300,0.59,0.91,5.49,15,2,3
4526,153,865,6.506,16,4,3
4077,85,795,6.228,16,4,3
4980,357,1.13,4.78,12,4,3
9030,45,2.63,1.45,4,0,3
11250,672,6.98,-2.3,4,0,3
5112,0.63,876,4.68,6,4,3
7720,7.92,1.34,2.44,15,2,3
12098,689,07.01,0.02,4,0,3
36108,198000,10.2,-4.4,0,6,3
33300,240000,12,-6.5,0,1,4
40000,813000,14,-6.23,0,6,4
23000,127000,36,-5.76,0,6,4
17120,235000,83,-6.89,0,6,4
11096,112000,12,-5.91,0,6,4
14245,231000,42,-6.12,0,6,4
24630,363000,63,-5.83,0,6,4
12893,184000,36,-6.34,0,6,4
24345,142000,57,-6.24,0,6,4
33421,352000,67,-5.79,0,6,4
3459,100000,1289,-10.7,8,5,5
3605,126000,1124,-10.81,8,5,5
3615,200000,1635,-11.33,8,5,5
3399,117000,1486,-10.92,8,5,5
3610,132000,1522,-10.86,8,5,5
3553,145000,1324,-11.03,8,5,5
4015,282000,1534,-11.39,8,4,5
3625,74000,876,-10.25,8,5,5
6850,229000,1467,-10.07,8,3,5
3780,200000,1324,-10.7,8,5,5
3323,43,912,17.16,8,5,0
3531,93,976,19.94,8,5,0
3218,54,0.11,20.02,8,5,0
3146,15,932,16.92,8,5,0
3511,64,109,17.12,8,5,0
3225,76,121,19.63,8,5,0
2935,87,932,16.88,8,5,0
2861,19,899,16.71,8,5,0
2856,896,782,19.56,8,5,0
2731,437,856,18.09,8,5,0
3095,19,492,10.87,8,5,1
3607,23,0.38,10.34,8,5,1
3100,8,0.31,11.17,8,5,1
2989,87,0.34,13.12,8,5,1
3542,9,0.62,14.23,8,5,1
3243,23,0.73,14.75,8,5,1
3091,81,0.24,11.43,8,5,1
3598,11,0.56,14.26,8,5,1
3324,34,0.34,12.23,8,5,1
3541,13,256,14.33,8,5,1
13420,59,981,13.67,1,1,2
21020,15,112,11.52,0,1,2
18290,13,934,12.78,0,1,2
14520,82,972,11.92,1,1,2
11900,67,898,11.38,2,1,2
8924,28,879,14.87,2,0,2
12912,71,945,12.83,2,1,2
14732,11,892,12.89,14,2,2
7723,14,878,14.81,9,0,2
12984,88,996,11.23,1,1,2
29560,188000,06.02,-4.01,4,1,3
8945,38,2.487,0.12,3,0,3
14060,1092,5.745,-2.04,4,0,3
16390,1278,5.68,-3.32,4,1,3
25070,14500,5.92,-3.98,4,1,3
28700,16790,6.4,-4.09,4,1,3
26140,14520,5.49,-3.8,4,1,3
20120,4720,6.78,-3.4,4,1,3
13023,998,6.21,-1.38,4,0,3
37800,202900,6.86,-4.56,0,6,3
25390,223000,57,-5.92,0,6,4
11567,251000,36,-6.245,0,6,4
12675,452000,83,-5.62,0,6,4
5752,245000,97,-6.63,0,6,4
8927,239000,35,-7.34,0,6,4
7282,131000,24,-7.22,0,6,4
19923,152000,73,-5.69,0,6,4
26373,198000,39,-5.83,0,6,4
17383,342900,30,-6.09,0,6,4
9373,424520,24,-5.99,0,6,4
3570,320000,1480,-7.58,8,5,5
3500,138000,1420,-8.18,8,5,5
4287,630000,1315,-9.2,5,4,5
26000,316000,1679,-9.1,0,1,5
3600,240000,1190,-7.89,8,5,5
3614,145000,1553,-7.71,8,5,5
18000,200000,1045,-8.3,0,6,5
11000,170000,1779,-9.9,4,1,5
12100,120000,708.9,-7.84,4,1,5
24490,248490,1134.5,-8.24,4,1,5
2831,231,915,16.21,8,5,0
2914,631,116,18.39,8,5,0
3419,245,126,17.56,8,5,0
3218,452,987,17.34,8,5,0
3453,621,773,17.08,8,5,0
2889,352,973,16.93,8,5,0
2968,461,119,17.45,8,5,0
3484,551,998,16.67,8,5,0
2778,849,112,19.45,8,5,0
3523,957,129,16.35,8,5,0
3462,53,148,11.47,8,5,1
3257,24,0.46,10.73,8,5,1
2994,72,0.28,13.45,8,5,1
3212,16,378,12.854,8,5,1
3523,54,319,12.43,8,5,1
3598,27,0.67,13.667,8,5,1
3142,132,258,14.12,8,5,1
3496,125,336,14.94,8,5,1
3324,65,471,12.78,8,5,1
3463,27,675,14.776,8,5,1
16790,14,121,12.87,0,1,2
15680,122,114,11.92,0,1,2
14982,118,113,12.23,0,1,2
13340,109,116,12.9,0,1,2
18340,134,124,11.22,0,1,2
19920,156,142,11.34,0,1,2
24020,159,127,10.55,0,1,2
23092,132,104,10.18,0,1,2
17920,111,106,11.66,0,1,2
19360,125,998,11.62,0,1,2
22350,12450,6.36,-3.67,4,1,3
10012,552,5.856,13,4,0,3
13089,788,5.992,-0.12,4,0,3
22012,6748,6.64,-2.55,4,1,3
34190,198200,6.39,-4.57,0,6,3
32460,173800,6.237,-4.36,0,6,3
9320,29,1.91,1.236,4,0,3
19400,10920,06.03,-3.08,4,1,3
17140,883,5.653,-2.64,4,1,3
8250,9.25,1.93,-0.98,15,2,3
23678,244290,35,-6.27,0,6,4
12749,332520,76,-7.02,0,6,4
9383,342940,98,-6.98,0,6,4
23440,537430,81,-5.975,0,6,4
16787,246730,62,-6.35,0,6,4
18734,224780,46,-7.45,0,6,4
9892,593900,80,-7.262,0,6,4
10930,783930,25,-6.224,0,6,4
23095,347820,86,-5.905,0,6,4
21738,748890,92,-7.346,0,6,4
24145,382993,1494,-8.84,4,1,5
38234,272830,1356,-9.29,0,6,5
32489,648430,1948.5,-10.84,0,6,5
27739,849420,1252,-7.59,4,1,5
21904,748490,1130,-7.67,4,1,5
38940,374830,1356,-9.93,0,6,5
30839,834042,1194,-10.63,0,6,5
8829,537493,1423,-10.73,9,0,5
9235,404940,1112,-11.23,9,0,5
37882,294903,1783,-7.8,0,6,5